Subject, Start Date, Start Time, End Date, End Time
毕设算法研究 动量理解 代码获取, 2017-04-23, 09:00:00, 2017-04-23, 11:00:00
cooking , 2017-04-23, 11:00:00, 2017-04-23, 11:30:00
eating , 2017-04-23, 11:30:00, 2017-04-23, 12:00:00
transport , 2017-04-23, 13:00:00, 2017-04-23, 14:30:00
summary weekly , 2017-04-23, 14:30:00, 2017-04-23, 15:30:00
专注力 选取最有感受的点记录, 2017-04-23, 15:30:00, 2017-04-23, 16:30:00
91job work , 2017-04-23, 16:30:00, 2017-04-23, 17:00:00
5大元素 , 2017-04-23, 17:00:00, 2017-04-23, 18:00:00
英语口语 , 2017-04-23, 19:00:00, 2017-04-23, 20:00:00
毕设算法研究 动量回测, 2017-04-23, 20:00:00, 2017-04-23, 21:30:00
A4-to-onenote , 2017-04-23, 21:30:00, 2017-04-23, 22:30:00
